book_title,category,base_url,status
build to lead,business,https://www.oreilly.com/business/free/files/build-to-lead,online
designing culture,business,https://www.oreilly.com/business/free/files/designing-culture,online
introduction to okrs,business,https://www.oreilly.com/business/free/files/introduction-to-okrs,online
the new manager mindset,business,https://www.oreilly.com/business/free/files/the-new-manager-mindset,online
the secrets behind great one on one meetings,business,https://www.oreilly.com/business/free/files/the-secrets-behind-great-one-on-one-meetings,online
three critical shifts in thinking for the evolving leader,business,https://www.oreilly.com/business/free/files/three-critical-shifts-in-thinking-for-the-evolving-leader,online
whats the future of work,business,https://www.oreilly.com/business/free/files/whats-the-future-of-work,online
2016 data science salary survey,data,https://www.oreilly.com/data/free/files/2016-data-science-salary-survey,online
advancing procurement analytics,data,https://www.oreilly.com/data/free/files/advancing-procurement-analytics,online
ai and medicine,data,https://www.oreilly.com/data/free/files/ai-and-medicine,online
analyzing data in the internet of things,data,https://www.oreilly.com/data/free/files/analyzing-data-in-the-internet-of-things,online
architecting data lakes,data,https://www.oreilly.com/data/free/files/architecting-data-lakes,online
architecting for access,data,https://www.oreilly.com/data/free/files/architecting-for-access,online
artificial intelligence now,data,https://www.oreilly.com/data/free/files/artificial-intelligence-now,online
big data now 2016 edition,data,https://www.oreilly.com/data/free/files/big-data-now-2016-edition,online
data and democracy,data,https://www.oreilly.com/data/free/files/data-and-democracy,online
data infrastructure for next gen finance,data,https://www.oreilly.com/data/free/files/data-infrastructure-for-next-gen-finance,online
data science banking and fintech,data,https://www.oreilly.com/data/free/files/data-science-banking-and-fintech,online
data science for modern manufacturing,data,https://www.oreilly.com/data/free/files/data-science-for-modern-manufacturing,online
data science microsoft azure ml python,data,https://www.oreilly.com/data/free/files/data-science-microsoft-azure-ml-python,online
data technology and the future of play,data,https://www.oreilly.com/data/free/files/data-technology-and-the-future-of-play,online
embedding analytics in modern applications,data,https://www.oreilly.com/data/free/files/embedding-analytics-in-modern-applications,online
evaluating machine learning models,data,https://www.oreilly.com/data/free/files/evaluating-machine-learning-models,online
fast data smart and at scale,data,https://www.oreilly.com/data/free/files/fast-data-smart-and-at-scale,online
future of machine intelligence,data,https://www.oreilly.com/data/free/files/future-of-machine-intelligence,online
getting analytics right,data,https://www.oreilly.com/data/free/files/getting-analytics-right,online
going pro in data science,data,https://www.oreilly.com/data/free/files/going-pro-in-data-science,online
hadoop and spark performance for the enterprise,data,https://www.oreilly.com/data/free/files/hadoop-and-spark-performance-for-the-enterprise,online
hadoop what you need to know,data,https://www.oreilly.com/data/free/files/hadoop-what-you-need-to-know,online
in search of database nirvana,data,https://www.oreilly.com/data/free/files/in-search-of-database-nirvana,online
industrial internet,data,https://www.oreilly.com/data/free/files/industrial-internet,online
integrated analytics,data,https://www.oreilly.com/data/free/files/integrated-analytics,online
mapping big data,data,https://www.oreilly.com/data/free/files/mapping-big-data,online
migrating big data analytics,data,https://www.oreilly.com/data/free/files/migrating-big-data-analytics,online
practical artificial intelligence in the cloud,data,https://www.oreilly.com/data/free/files/practical-artificial-intelligence-in-the-cloud,online
security data lake,data,https://www.oreilly.com/data/free/files/security-data-lake,online
self service analytics,data,https://www.oreilly.com/data/free/files/self-service-analytics,online
stream processing,data,https://www.oreilly.com/data/free/files/stream-processing,online
the big data market,data,https://www.oreilly.com/data/free/files/the-big-data-market,online
the business of genomic data,data,https://www.oreilly.com/data/free/files/the-business-of-genomic-data,online
the global impact of open data,data,https://www.oreilly.com/data/free/files/the-global-impact-of-open-data,online
the new artificial intelligence market,data,https://www.oreilly.com/data/free/files/the-new-artificial-intelligence-market,online
what are conversational bots,data,https://www.oreilly.com/data/free/files/what-are-conversational-bots,online
what is artificial intelligence,data,https://www.oreilly.com/data/free/files/what-is-artificial-intelligence,online
what is data science,data,https://www.oreilly.com/data/free/files/what-is-data-science,online
2016 design salary survey report,design,https://www.oreilly.com/design/free/files/2016-design-salary-survey-report,online
2017 design salary survey,design,https://www.oreilly.com/design/free/files/2017-design-salary-survey,online
data informed product design,design,https://www.oreilly.com/design/free/files/data-informed-product-design,online
design and business,design,https://www.oreilly.com/design/free/files/design-and-business,online
design for voice interfaces,design,https://www.oreilly.com/design/free/files/design-for-voice-interfaces,online
design frontiers,design,https://www.oreilly.com/design/free/files/design-frontiers,online
